source_frame,target_frame,direction,thermal,baseline,delta
5km,5km,bejis_2022_to_manavgat_2021,0.5696903888652564,0.5304282459043608,0.039262142960895585
5km,5km,bejis_2022_to_mugla_2021,0.6406072046871364,0.6176132120735495,0.022993992613586922
5km,5km,bejis_2022_to_evia_2021_extended,0.59271954436188,0.6252061063496587,-0.03248656198777866
5km,5km,bejis_2022_to_montiferru_2021,0.6216987581962261,0.5361658715798393,0.0855328866163868
5km,5km,mugla_2021_to_manavgat_2021,0.5213772786694749,0.603889236172354,-0.0825119575028791
5km,5km,mugla_2021_to_bejis_2022,0.5353287532052833,0.4816176399438773,0.053711113261405985
5km,5km,mugla_2021_to_evia_2021_extended,0.7351481651968269,0.7090432890311235,0.02610487616570345
5km,5km,mugla_2021_to_montiferru_2021,0.5067779941175301,0.5204525188626001,-0.013674524745070027
5km,5km,evia_2021_extended_to_manavgat_2021,0.6555075194795763,0.6346580828569354,0.020849436622640938
5km,5km,evia_2021_extended_to_bejis_2022,0.5816212685664521,0.5450534617059365,0.03656780686051564
5km,5km,evia_2021_extended_to_mugla_2021,0.6246354973720954,0.5930808787704818,0.03155461860161368
5km,5km,evia_2021_extended_to_montiferru_2021,0.6776648154577727,0.5913633534055157,0.08630146205225697
5km,5km,montiferru_2021_to_manavgat_2021,0.6057911535229242,0.5882287332828404,0.01756242024008381
5km,5km,montiferru_2021_to_bejis_2022,0.6288272291838019,0.6482522134597707,-0.019424984275968837
5km,5km,montiferru_2021_to_mugla_2021,0.6069494190695306,0.6188805590858435,-0.011931140016312902
5km,5km,montiferru_2021_to_evia_2021_extended,0.7457643166280636,0.6743056925538677,0.0714586240741959
