direction,model_family,adaptation_method,metric,raw_gap_mean,adaptation_effect_mean,remaining_gap_mean,recovered_fraction_ci_low,recovered_fraction_ci_high,remaining_fraction_ci_low,remaining_fraction_ci_high,n_replicates,n_replicates_ratio_degenerate
mugla_2021_to_bejis_2022,baseline,regionwise_zscore,pr_auc,0.24028894510554136,0.02094881327366563,0.21934013183187573,0.05257880993838888,0.12365705736168532,0.8763429426383146,0.9474211900616112,1000,0
mugla_2021_to_bejis_2022,baseline,coral_after_regionwise_zscore,pr_auc,0.24028894510554136,0.031311127347200436,0.20897781775834093,0.08965464612458977,0.171516168645318,0.828483831354682,0.9103453538754103,1000,0
mugla_2021_to_bejis_2022,thermal,regionwise_zscore,roc_auc,0.33466800435463534,-0.048435173017789185,0.3831031773724245,-0.24057919633529234,-0.05990734626314992,1.0599073462631499,1.2405791963352923,1000,0
mugla_2021_to_bejis_2022,thermal,coral_after_regionwise_zscore,roc_auc,0.33466800435463534,-0.023179943126147576,0.35784794748078286,-0.16424283030293713,0.010515393239790156,0.9894846067602099,1.164242830302937,1000,0
mugla_2021_to_bejis_2022,thermal,regionwise_zscore,pr_auc,0.4100943880784442,-0.016462009092436985,0.42655639717088123,-0.0666240187142142,-0.019823180545445063,1.0198231805454452,1.0666240187142142,1000,0
mugla_2021_to_bejis_2022,thermal,coral_after_regionwise_zscore,pr_auc,0.4100943880784442,-0.010680424384021251,0.4207748124624655,-0.05170389254177117,-0.005380454158425363,1.0053804541584253,1.051703892541771,1000,0
mugla_2021_to_evia_2021_extended,baseline,regionwise_zscore,roc_auc,0.15960098853636281,-0.054934047563594345,0.21453503609995717,-0.4982251077989347,-0.21272626878584217,1.212726268785842,1.4982251077989346,1000,0
mugla_2021_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,roc_auc,0.15960098853636281,-0.04675302505489039,0.2063540135912532,-0.4402881876041297,-0.16459659557032366,1.1645965955703235,1.4402881876041298,1000,0
mugla_2021_to_evia_2021_extended,baseline,regionwise_zscore,pr_auc,0.1728903621327704,-0.05435018754546681,0.22724054967823717,-0.45904241787168004,-0.2068235798156441,1.206823579815644,1.45904241787168,1000,0
mugla_2021_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,pr_auc,0.1728903621327704,-0.04666673097192638,0.21955709310469676,-0.40029755105797865,-0.15777751843485735,1.1577775184348573,1.4002975510579787,1000,0
mugla_2021_to_evia_2021_extended,thermal,regionwise_zscore,roc_auc,0.259060269082878,-0.09182083120932986,0.35088110029220787,-0.44740517166064553,-0.2644412366117855,1.2644412366117854,1.4474051716606455,1000,0
mugla_2021_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,roc_auc,0.259060269082878,-0.09003980674199212,0.3491000758248701,-0.4269038432903224,-0.27119651099705555,1.2711965109970556,1.4269038432903223,1000,0
mugla_2021_to_evia_2021_extended,thermal,regionwise_zscore,pr_auc,0.43780277606019885,-0.08605421955474153,0.5238569956149404,-0.25239129807033917,-0.14903851123834044,1.1490385112383406,1.252391298070339,1000,0
mugla_2021_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,pr_auc,0.43780277606019885,-0.08490805760157616,0.522710833661775,-0.24755947195297867,-0.14841525621181542,1.1484152562118153,1.2475594719529786,1000,0
mugla_2021_to_manavgat_2021,baseline,regionwise_zscore,roc_auc,0.41913662988044215,0.0820340899419104,0.3371025399385318,0.15864860073786013,0.23587907487721882,0.7641209251227812,0.8413513992621399,1000,0
mugla_2021_to_manavgat_2021,baseline,coral_after_regionwise_zscore,roc_auc,0.41913662988044215,0.09488493695099533,0.3242516929294468,0.19024224452704885,0.26104916121767147,0.7389508387823286,0.809757755472951,1000,0
mugla_2021_to_manavgat_2021,baseline,regionwise_zscore,pr_auc,0.35707782139743244,0.030405558258804626,0.32667226313862785,0.06598657683519517,0.10905207495170226,0.8909479250482979,0.9340134231648048,1000,0
mugla_2021_to_manavgat_2021,baseline,coral_after_regionwise_zscore,pr_auc,0.35707782139743244,0.030377020480116142,0.3267008009173163,0.067578394212875,0.1040315224111233,0.8959684775888767,0.932421605787125,1000,0
mugla_2021_to_manavgat_2021,thermal,regionwise_zscore,roc_auc,0.5629461806802792,0.1399173173394523,0.42302886334082695,0.21925875376617848,0.27852442783153764,0.7214755721684625,0.7807412462338216,1000,0
mugla_2021_to_manavgat_2021,thermal,coral_after_regionwise_zscore,roc_auc,0.5629461806802792,0.1310005829668663,0.431945597713413,0.20590630161058232,0.26051189108634043,0.7394881089136596,0.7940936983894177,1000,0
mugla_2021_to_manavgat_2021,thermal,regionwise_zscore,pr_auc,0.5447994043452014,0.03464015508283604,0.5101592492623652,0.05294514207728169,0.07564815192470674,0.9243518480752934,0.9470548579227182,1000,0
mugla_2021_to_manavgat_2021,thermal,coral_after_regionwise_zscore,pr_auc,0.5447994043452014,0.03319692613390572,0.5116024782112956,0.05081240340839089,0.07215421840726007,0.92784578159274,0.9491875965916092,1000,0
